167503724545,21474836480,BINDS
167503724546,21474836481,BINDS
167503724547,21474836482,BINDS
167503724548,21474836483,BINDS
167503724549,21474836484,BINDS
167503724550,21474836485,BINDS
167503724551,21474836486,BINDS
167503724552,21474836487,BINDS
167503724553,21474836488,BINDS
167503724554,21474836489,BINDS
167503724555,21474836490,BINDS
167503724556,21474836491,BINDS
167503724557,21474836492,BINDS
167503724558,21474836493,BINDS
167503724559,21474836494,BINDS
167503724560,21474836495,BINDS
167503724561,21474836496,BINDS
167503724562,21474836497,BINDS
167503724563,21474836498,BINDS
167503724564,21474836499,BINDS
167503724565,21474836500,BINDS
167503724566,21474836501,BINDS
167503724567,21474836502,BINDS
167503724568,21474836503,BINDS
167503724569,21474836504,BINDS
167503724570,21474836505,BINDS
167503724571,21474836506,BINDS
167503724572,21474836507,BINDS
167503724573,21474836508,BINDS
167503724574,21474836509,BINDS
167503724575,21474836510,BINDS
167503724576,21474836511,BINDS
167503724577,21474836512,BINDS
167503724578,21474836513,BINDS
